Plant Name,Generator ID,Technology,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Excess Wind and Solar Generation,time
Agua Fria,AFSB1,Batteries,100,25,25,LIB,25,OT,Y,,2021
Dynegy Moss Landing Power Plant Hybrid,BAT1,Batteries,300,300,300,LIB,300,BL,Y,,2021
Dynegy Moss Landing Power Plant Hybrid,BAT2,Batteries,100,100,100,LIB,100,BL,Y,,2021
El Centro Hybrid,BESS,Batteries,20,30,30,LIB,14.4,BL,N,,2021
Palaau Power Hybrid,BAT1,Batteries,2,0.5,0.5,OTH,2,CS,,,2021
Harding Street,BAT1,Batteries,20,20,20,LIB,20,BL,,,2021
Butler-Warner Generation Plant,11,Batteries,0.5,0.3,0.5,LIB,0.6,CS,,,2021
William F Wyman Hybrid,BESS,Batteries,10.9,16.7,16.2,LIB,10.2,CS,,,2021
Nantucket Hybrid,20,Batteries,48,6,6,LIB,7,BL,,,2021
Cleary Flood Hybrid,BS1,Batteries,6,3,3,LIB,3,CS,Y,,2021
Walter C Beckjord,BECK1,Batteries,1,2,2,OTH,2,CS,,,2021
Walter C Beckjord,BECK2,Batteries,0.8,2,2,OTH,2,CS,,,2021
Kotzebue Hybrid,ES1,Batteries,1,1.2,1.2,LIB,1.2,CT,,Y,2021
Ocracoke Hybrid,BAT,Batteries,1,0.5,0.5,LIB,0.5,CS,Y,,2021
Pebbly Beach Generating Station Hybrid,NASB1,Batteries,6.8,1,1,NAB,0.8,CS,,,2021
McIntosh (AL),1,Natural Gas with Compressed Air Storage,110,52,110,,0.9,BL,,,2021
VESI Pomona,BESS1,Batteries,20,20,20,LIB,20,BL,,,2021
Great Lakes Hydro America - ME,BES1,Batteries,10,4,5,LIB,18.2,CS,Y,,2021
Great Lakes Hydro America - ME,BES2,Batteries,10,4,5,LIB,18.2,CS,Y,,2021
Biola University Hybrid,BATT,Batteries,0.5,0.3,0.3,LIB,0.3,CS,,,2021
"Green Mountain Storage, LLC",BGM,Batteries,10.4,10.4,10.4,LIB,10.4,CT,,,2021
Grapeland Hybrid,BA1,Batteries,10,10,10,LIB,6,BL,N,,2021
Center Hybrid,BA1,Batteries,10,10,10,LIB,6,BL,N,,2021
Solana Generating Station,GEN 1,Solar Thermal with Energy Storage, , , ,, ,,,Y,2021
Solana Generating Station,GEN2,Solar Thermal with Energy Storage, , , ,, ,,,Y,2021
Notrees Windpower Hybrid,BATT,Batteries,13.6,36,36,LIB,36,BL,N,,2021
Pyron Wind Farm LLC Hybrid,PYRBT,Batteries,9.9,9.9,9.9,LIB,3.3,CS,,,2021
Inadale Wind Farm LLC Hybrid,INABT,Batteries,9.9,9.9,9.9,LIB,3.3,CS,,,2021
Rolling Thunder Wind Farm Hybrid,2,Batteries,0.8,0.3,0.3,LIB,0.3,OT,,Y,2021
Kaheawa Wind Power II LLC,2,Batteries,20,10,10,LIB,10,BL,,Y,2021
Crescent Dunes Solar Energy,TSE-1,Solar Thermal with Energy Storage, , , ,, ,,,,2021
FPL Energy Illinois Wind LLC Hybrid,BFT,Batteries,8.3,20,20,LIB,20,CS,,,2021
Laurel Mountain Hybrid,2,Batteries,16,16,16,LIB,0,CS,,,2021
Battery Energy Storage System,BESS,Batteries,11,4,40,NIB,46,BL,,,2021
University of California San Diego Hybrid,BS1,Batteries,2.5,2.5,2.5,LIB,2.5,CS,,,2021
Stephentown Spindle,SRS1,Flywheels,5,20,20,,6.4,CS,,,2021
Hazle Spindle,HRS1,Flywheels,5,20,20,,6.4,CS,,,2021
Auwahi Wind Energy Hybrid,AWEB,Batteries,4.4,11,11,LIB,5.4,CS,,,2021
Marshalltown Generating Station,BESS1,Batteries,0.6,0.3,0.3,LIB,0.1,CS,,Y,2021
ESS Battery Microgrid,1,Batteries,3,3,3,PBB,3,CS,N,Y,2021
McCoy Solar Energy Project Hybrid,MCST1,Batteries,920,230,230,LIB,250.4,CS,Y,Y,2021
Battery Utility of Ohio,BOU,Batteries,2,4,4,LIB,4,CS,,,2021
OCI Alamo Solar I Hybrid,ASTRO,Batteries,0.3,1,1,LIB,0.6,CS,,,2021
Sierra Nevada Brewing Co Hybrid,BESS,Batteries,1,0.5,0.5,LIB,0.5,OT,,Y,2021
Santa Rita Jail Hybrid,SRJBA,Batteries,4,0.3,0.3,LIB,2,CS,,,2021
KRS I Anahola Solar Hybrid,B5B6,Batteries,4.6,2,6,LIB,6,CS,,Y,2021
Prosperity Energy Storage Facility Hybrid,GEN-2,Batteries,1.3,0.5,0.5,PBB,0.8,CS,Y,Y,2021
RE Mustang LLC,BESS1,Batteries,75,75,75,LIB,75,CS,,Y,2021
Northwest Ohio Wind,NWO-B,Batteries,3.8,0.2,0.2,LIB,1,CS,Y,Y,2021
Tehachapi Energy Storage Project,TSP1,Batteries,32,8,8,LIB,4,BL,N,,2021
KCP&L SmartGrid Innovation Park,1,Batteries,1,1,1,LIB,1.3,CS,,,2021
RE Tranquillity,BESS1,Batteries,128,32,32,LIB,10.5,CS,,,2021
AES Warrior Run Energy Storage Project,BESS1,Batteries,5,5,5,LIB,5,BL,,,2021
Grand Ridge Battery Projects,GIVB,Batteries,1,1.5,1.5,LIB,0.5,CT,,,2021
Grand Ridge Battery Projects,GRES,Batteries,12.5,31.5,31.5,LIB,0.5,CT,,,2021
Elwood Energy Storage Center,WCBS,Batteries,7.9,19.8,19.8,LIB,22,CS,N,,2021
Jake Energy Storage Center,JBS,Batteries,7.9,19.8,19.8,LIB,22,CS,,,2021
Babcock Solar Energy Center Hybrid,BA,Batteries,40,10,10,LIB,7,CS,,Y,2021
Manatee Solar Energy Center,BMS,Batteries,900,74.5,409,LIB,134,CS,,,2021
MESA 1,A,Batteries,0.5,1,1,LIB,0.9,CS,Y,,2021
MESA 1,B,Batteries,0.5,1,1,LIB,0.9,CS,Y,,2021
Citrus Solar Energy Center Hybrid,BA,Batteries,16,4,4,LIB,16,CS,,Y,2021
"Blythe Solar II, LLC",BLST2,Batteries,538.6,115,115,LIB,126.9,CS,Y,Y,2021
"Blythe Solar 110, LLC",BES1,Batteries,301.2,63,63,LIB,68.6,CS,Y,Y,2021
"Blythe Solar III, LLC Hybrid",BLST3,Batteries,538.6,115,115,LIB,126.9,CS,Y,Y,2021
Castle Gap Solar Hybrid,BAT1,Batteries,42,9.9,9.9,LIB,4.8,CS,,Y,2021
Genentech-Oceanside Hybrid,BA1,Batteries,2,1,1,LIB,1,CS,,Y,2021
RE Garland,BESS1,Batteries,176,44,44,LIB,14.5,CS,,,2021
RE Garland,BESS2,Batteries,176,44,44,LIB,14.5,CS,,,2021
Silicon Valley Clean Water,BES,Batteries,2,1,1,LIB,1,CS,,,2021
Clinton Battery,1,Batteries,4.1,5,5,LIB,3.2,CS,,,2021
HMV Minster Energy Storage System,MIN02,Batteries,7,7,7,LIB,5.3,CS,,,2021
Beech Ridge Energy Storage,BRES,Batteries,12.5,31.5,31.5,LIB,0.5,CT,,,2021
Salem Smart Power Center,SSPC,Batteries,1.3,5,5,LIB,5,BL,,,2021
Glacier Battery Storage,GLA,Batteries,4.4,2,2,LIB,2,CT,Y,,2021
Springbok 3 Solar Farm Hybrid,SB3BS,Batteries,1.5,1.5,1.5,LIB,1.5,CT,,Y,2021
ETT Presidio NaS Battery,BOB,Batteries,4,4,4,NAB,4,BL,,,2021
Stafford Hill Solar Hybrid,BA1,Batteries,3.4,2,2,LIB,0.5,CS,,Y,2021
KIUC Kapaia PV and BA Storage Project Hybrid,BA1,Batteries,52,11,11,LIB,7.8,CS,,Y,2021
Cedartown Battery Energy Storage Project,1,Batteries,2,1,1,LIB,1.5,CT,,Y,2021
GMP Solar - Panton Hybrid,GMPBP,Batteries,4,1,1,LIB,1,OT,,Y,2021
Flywheel Energy Storage System Microgrid,FESS,Flywheels,2,2,2,,2,CS,,Y,2021
Borrego Springs Energy Storage,SES1,Batteries,1.5,0.5,0.5,LIB,1.5,CS,N,Y,2021
Borrego Springs Energy Storage,SES2,Batteries,3,1,1,LIB,1.5,CS,,Y,2021
Pala Energy Storage Yard,SES1,Batteries,1.5,0.5,0.5,LIB,1.5,CS,,,2021
Pala Energy Storage Yard,SES2,Batteries,2,1,1,LIB,1.5,CS,,,2021
Ortega Highway Energy Storage,SES1,Batteries,3,1,1,LIB,2,CS,,,2021
Ortega Highway Energy Storage,SES2,Batteries,3,1,1,LIB,2,CS,,,2021
Canyon Crest Academy,SES,Batteries,3,1,1,LIB,1,CS,,Y,2021
El Cajon Energy Storage,SES,Batteries,30,7.5,7.5,LIB,7.5,CS,Y,,2021
Escondido Energy Storage,SES,Batteries,120,30,30,LIB,30,CS,Y,N,2021
CMEEC - Polaris Park Solar Hybrid,BA1,Batteries,3.3,0.8,0.8,LIB,1,CS,,Y,2021
CMEEC - Norwich Stott St Solar Hybrid,BA1,Batteries,3,0.8,0.8,LIB,1,CS,,Y,2021
Henrietta D Energy Storage LLC,HDES1,Batteries,40,10,10,LIB,10,CS,Y,,2021
Rabbit Hill Energy Storage Project,1,Batteries,9.9,9.9,9.9,LIB,9.9,CS,,,2021
Townsite Solar Project Hybrid,GEN02,Batteries,360,90,90,LIB,210,CS,Y,Y,2021
McHenry Battery Storage,MCH1,Batteries,7.8,19.8,19.8,LIB,6.1,CS,,,2021
Willey Battery Utility,WBU,Batteries,2,6,6,LIB,6,CS,,,2021
Mira Loma Energy Storage Facility,013A,Batteries,40,10,10,LIB,3.3,CS,Y,,2021
Mira Loma Energy Storage Facility,013B,Batteries,40,10,10,LIB,3.3,CS,Y,,2021
"Blue Summit Storage, LLC",WBSS,Batteries,12.6,30,30,LIB,12.5,CS,,,2021
Stanton Energy Reliability Center Hybrid,BESS1,Batteries,4.5,10,10,LIB,0,CS,,,2021
Stanton Energy Reliability Center Hybrid,BESS2,Batteries,4.5,10,10,LIB,0,CS,,,2021
Millikan BESS,PE101,Batteries,8,2,2,LIB,2,BL,Y,,2021
Hampshire College Hybrid,BA1,Batteries,0.5,0.3,0.3,LIB,0.3,CS,,Y,2021
Hampshire College Hybrid,BA2,Batteries,0.5,0.3,0.3,LIB,0.3,CS,,Y,2021
Mt. Tom Solar Project Hybrid,BA1,Batteries,6.1,2,3.1,LIB,2.3,CS,,Y,2021
Chocksett Rd Energy Storage Project,BA1,Batteries,3.9,2,2,LIB,1,CS,,,2021
Glendale Battery Energy Storage System,2BESS,Batteries,1,1,2,LIB,2,CS,,,2021
Iron Horse Battery Storage Hybrid,BA1,Batteries,2.5,10,10,LIB,10,CS,,Y,2021
AES Lawai Solar Hybrid,LAWA2,Batteries,100,20,20,LIB,20,CS,,Y,2021
Battle Mountain Solar Project,BMBS,Batteries,25,25,25,LIB,0.8,CS,,Y,2021
Vanadium Redox Flow Battery Plant,VRF,Batteries,8,2,2,FLB,2.3,CS,,Y,2021
Pima Energy Storage System,PIMA,Batteries,2.5,8,10,LIB,2.9,CS,,,2021
"AES ES ALAMITOS, LLC",ALMTS,Batteries,400,100,100,LIB,100,BL,Y,,2021
Volkman Road Solar Array Hybrid,VRSA2,Batteries,4.6,1,1,LIB,1.2,CT,,Y,2021
NRG Elbow Creek Energy Storage Project,ECBS,Batteries,0.7,2,2,LIB,2,CS,Y,,2021
Top Gun Energy Storage,TGES,Batteries,120,30,30,LIB,30,CS,Y,,2021
Beacon BESS 1,BCNB1,Batteries,10,20,20,LIB,15,CS,,Y,2021
Panasonic Carport Solar Hybrid,PANBS,Batteries,2.2,1,1,LIB,1,CS,Y,Y,2021
Hopewell Valley High School Hybrid,BA1,Batteries,1,0.5,0.5,LIB,0.5,BL,,Y,2021
New Orleans Solar Power Plant,NOSPB,Batteries,0.5,0.5,0.5,LIB,0.4,CS,,Y,2021
Vista Energy Storage System ,VISTA,Batteries,40,40,40,LIB,40,BL,Y,,2021
Pinal Central Energy Center Hybrid,BA1,Batteries,40,10,10,LIB,10,CS,,Y,2021
Cox Battery Energy Storage,1,Batteries,1.5,1.2,1,PBB,1.2,CS,,,2021
HEBT WLA 1,WLA01,Batteries,6.9,1,1,LIB,1,OT,Y,,2021
HEBT Irvine 1,IRV01,Batteries,6.5,1,1,LIB,1,OT,,,2021
HEBT Irvine 1,IRV1W,Batteries,27,4.5,4.5,LIB,4.5,OT,,,2021
HEBT Irvine 2,IRV06,Batteries,15,2.5,2.5,LIB,2.5,OT,,,2021
HEBT Irvine 2,IRV2W,Batteries,19.8,3.3,3.3,LIB,3.3,OT,,,2021
MA Solar Storage 1 Hybrid,61730,Batteries,2,1,1,LIB,1,CS,Y,Y,2021
Navy Yard Peaker Station,GEN5,Batteries,6.2,6.2,6.2,LIB,6.4,CS,,,2021
Lockheed Martin RMS Syracuse,SYR1,Batteries,1.3,1,1,LIB,1,CS,Y,,2021
Kingsberry Energy Storage System,KBESS,Batteries,3,1.5,1.5,LIB,1.5,CS,Y,Y,2021
System Control Center,GEN1,Flywheels,2.5,2.5,2.5,,0,CS,,,2021
System Control Center,GEN2,Flywheels,2.5,2.5,2.5,,0,CS,,,2021
Sunshine Gateway Solar Energy Center,2,Batteries,75,30,30,LIB,30,CS,,Y,2021
Pacific Union College BESS,12649,Batteries,2,1,1,LIB,1,CS,Y,,2021
AES ES GILBERT,SRP,Batteries,40,10,10,LIB,10,BL,Y,,2021
